ID;Site;Genus;X2013;X2014;X2015;X2016;X2017;Habitat_type
Acropora13;FR3;Acropora;Alive;Lost;Lost;Lost;Lost;Unconsolidated
Goniastrea34;FR3;Goniastrea;Alive;Alive;Lost;Lost;Lost;Consolidated
Goniastrea35;FR3;Goniastrea;Alive;Lost;Lost;Lost;Lost;Consolidated
Goniastrea36;FR3;Goniastrea;Alive;Lost;Lost;Lost;Lost;Consolidated
Goniastrea37;FR3;Goniastrea;Alive;Lost;Lost;Lost;Lost;Consolidated
Goniastrea38;FR3;Goniastrea;Alive;Lost;Lost;Lost;Lost;Consolidated
Goniastrea39;FR3;Goniastrea;Alive;Alive;Alive;Alive;Alive;Consolidated
Goniastrea40;FR3;Goniastrea;Alive;Alive;Dead;Dead;Dead;Consolidated
Goniastrea41;FR3;Goniastrea;Alive;Lost;Lost;Lost;Lost;Unconsolidated
Goniastrea42;FR3;Goniastrea;Alive;Alive;Alive;Alive;Alive;Consolidated
Goniastrea43;FR3;Goniastrea;Alive;Alive;Alive;Alive;Alive;Unconsolidated
Goniastrea44;FR3;Goniastrea;Alive;Alive;Alive;Alive;Alive;Unconsolidated
Hydnophora43;FR3;Hydnophora;Alive;Alive;Alive;Alive;Alive;Consolidated
Hydnophora44;FR3;Hydnophora;Alive;Alive;Alive;Alive;Alive;Consolidated
Astrea42;FR3;Astrea;Alive;Alive;Alive;Alive;Alive;Consolidated
Pavona53;FR3;Pavona;Alive;Alive;Alive;Alive;Alive;Consolidated
Pavona54;FR3;Pavona;Alive;Alive;Lost;Lost;Lost;Consolidated
Pavona55;FR3;Pavona;Alive;Lost;Lost;Lost;Lost;Consolidated
Pavona56;FR3;Pavona;Alive;Lost;Lost;Lost;Lost;Consolidated
Pavona57;FR3;Pavona;Alive;Lost;Lost;Lost;Lost;Consolidated
Pavona59;FR3;Pavona;Alive;Alive;Alive;Alive;Alive;Unconsolidated
Pavona60;FR3;Pavona;Alive;Alive;Alive;Alive;Alive;Unconsolidated
Pocillopora144;FR3;Pocillopora;Alive;Alive;Alive;Dead;Dead;Consolidated
Pocillopora145;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Consolidated
Pocillopora146;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Consolidated
Pocillopora147;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Consolidated
Pocillopora149;FR3;Pocillopora;Alive;Alive;Alive;Alive;Alive;Consolidated
Pocillopora150;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Unconsolidated
Pocillopora151;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Consolidated
Pocillopora152;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Unconsolidated
Pocillopora153;FR3;Pocillopora;Alive;Lost;Lost;Lost;Lost;Consolidated
Pocillopora154;FR3;Pocillopora;Alive;Alive;Alive;Alive;Alive;Consolidated
Pocillopora155;FR3;Pocillopora;Alive;Dead;Dead;Dead;Dead;Consolidated
Pocillopora156;FR3;Pocillopora;Alive;Alive;Alive;Alive;Alive;Unconsolidated
Pocillopora157;FR3;Pocillopora;Alive;Alive;Dead;Dead;Dead;Consolidated
Porites22;FR3;Porites;Alive;Alive;Alive;Alive;Alive;Consolidated
Stylophora20;FR3;Stylophora;Alive;Alive;Alive;Alive;Alive;Consolidated
Stylophora21;FR3;Stylophora;Alive;Alive;Alive;Alive;Alive;Consolidated
Stylophora22;FR3;Stylophora;Alive;Alive;Lost;Lost;Lost;Consolidated
Stylophora23;FR3;Stylophora;Alive;Alive;Alive;Alive;Alive;Consolidated
Stylophora24;FR3;Stylophora;Alive;Alive;Alive;Alive;Alive;Consolidated
